crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
107,https://novel.munpia.com/481372,481372,107,쇠글씨,시체 닦다가 SSS급 헌터 됐습니다.,"퓨전, 현대판타지",245,245,6,6,41.79%,41.79
108,https://novel.munpia.com/477537,477537,108,탁틴,초월급 한의사가 다 고침.,"현대판타지, 퓨전",229,229,10,10,43.70%,43.7
109,https://novel.munpia.com/482608,482608,109,하늘땅사이,재벌집 첫째 아들,"현대판타지, 판타지",226,226,7,7,56.34%,56.34
110,https://novel.munpia.com/485291,485291,110,포기하지마,폭망한 걸그룹과 한 침대에서 깨어났다,"현대판타지, 드라마",225,225,4,4,-,
111,https://novel.munpia.com/483910,483910,111,익사,아빠는 월드 클래스!,"스포츠, 현대판타지",224,224,4,4,71.81%,71.81
112,https://novel.munpia.com/475645,475645,112,글로운,폐급 신입사원이 AI를 숨김,"현대판타지, 판타지",222,222,9,9,52.11%,52.11
113,https://novel.munpia.com/486257,486257,113,사슴벌레턱,파리지옥 키워서 먼치킨 헌터,"현대판타지, 판타지",222,222,4,4,-,
114,https://novel.munpia.com/477791,477791,114,용용드래곤,최종보스지만 농사짓습니다,"현대판타지, 판타지",221,221,5,5,50.11%,50.11
115,https://novel.munpia.com/481939,481939,115,오렌,초월무쌍,"현대판타지, 퓨전",217,217,7,7,67.71%,67.71
116,https://novel.munpia.com/483860,483860,116,혜음,전생에 진선이었다,"현대판타지, 무협",212,212,4,4,60.97%,60.97
117,https://novel.munpia.com/484827,484827,117,E급작가,최초로 제작 각성자가 되었다.,"판타지, 퓨전",196,196,6,6,-,
118,https://novel.munpia.com/479971,479971,118,째개,아포칼립스 꿈의 집 만들기,"현대판타지, 게임",193,193,6,6,37.03%,37.03
119,https://novel.munpia.com/477904,477904,119,노란커피,수행자 아나긴,판타지,188,188,7,7,35.25%,35.25
120,https://novel.munpia.com/481470,481470,120,허브캣,대우주시대의 전생자는 타이탄에 오른다,"퓨전, SF",184,184,5,5,81.84%,81.84
121,https://novel.munpia.com/475599,475599,121,첨G,멸망할 세계의 파견 용사,"판타지, 퓨전",180,180,-55,-55,43.74%,43.74
122,https://novel.munpia.com/481628,481628,122,시인단테,차원 이동자의 영지는 AI기사로 캐리한다,"판타지, 퓨전",180,180,7,7,60.41%,60.41
123,https://novel.munpia.com/477005,477005,123,김첼프,야구 천재 영결집 막내아들,"스포츠, 현대판타지",178,178,4,4,30.22%,30.22
124,https://novel.munpia.com/475519,475519,124,곰산타,불로소득 아싸 마법사가 구원을 외주함,"현대판타지, 판타지",178,178,4,4,43.11%,43.11
125,https://novel.munpia.com/485562,485562,125,포더엠,마법사의 무공은 현실이 된다,"판타지, 퓨전",168,168,6,6,-,
126,https://novel.munpia.com/475983,475983,126,아랫뉘,항우는 유방의 제국을 빼앗는다,"대체역사, 전쟁·밀리터리",166,166,4,4,30.29%,30.29
127,https://novel.munpia.com/479996,479996,127,복현,자고 일어나면 돈이 생김,"현대판타지, 판타지",161,161,5,5,38.97%,38.97
128,https://novel.munpia.com/477238,477238,128,왕형님,공무원이 아이돌을 잘 키움,현대판타지,158,158,44,44,68.99%,68.99
129,https://novel.munpia.com/475580,475580,129,벤조,삼국지 애비 셋 후레자식의 아들이 되었다,"대체역사, 판타지",157,157,7,7,38.66%,38.66
130,https://novel.munpia.com/481022,481022,130,김메탈,이혼 후 문자가 돈을 벌어다 줌,현대판타지,156,156,43,43,57.15%,57.15
131,https://novel.munpia.com/485667,485667,131,담하파,안뛰어도 발롱도르,"스포츠, 현대판타지",153,153,3,3,73.78%,73.78
132,https://novel.munpia.com/476287,476287,132,gordon,레벨업 무림,"무협, 퓨전",151,151,1,1,43.21%,43.21
133,https://novel.munpia.com/478263,478263,133,강현석,고려의 대물이 북벌을 잘함,"대체역사, 전쟁·밀리터리",151,151,4,4,69.33%,69.33
134,https://novel.munpia.com/477953,477953,134,살생금지,무한 창고 in 아포칼립스,"현대판타지, 판타지",150,150,1,1,35.32%,35.32
135,https://novel.munpia.com/478843,478843,135,소울바운드,검은 머리 메이저리거,"스포츠, 대체역사",149,149,5,5,42.54%,42.54
136,https://novel.munpia.com/483720,483720,136,청송(靑松),초월 스킬로 초월급 헌터,"판타지, 현대판타지",148,148,3,3,32.53%,32.53
137,https://novel.munpia.com/480538,480538,137,강원산,명가의 아들은 9서클 회귀마법사,"현대판타지, 퓨전",145,145,1,1,38.06%,38.06
138,https://novel.munpia.com/476540,476540,138,에그빵,게임속 버그를 때려잡았더니 코드가 보임,"현대판타지, 게임",141,141,6,6,52.17%,52.17
139,https://novel.munpia.com/484395,484395,139,교리패인,허세관종으로 발롱도르,"스포츠, 현대판타지",140,140,3,3,55.64%,55.64
140,https://novel.munpia.com/477169,477169,140,코다,텍본 들고 시작하는 헌터 생활,"현대판타지, 퓨전",139,139,7,7,40.64%,40.64
141,https://novel.munpia.com/485620,485620,141,손연우,역대급 뇌지컬을 각성했다,"퓨전, 무협",138,138,0,0,61.92%,61.92
142,https://novel.munpia.com/483378,483378,142,[세인토],나 혼자 아포칼립스에서 뽑기로 꿀빠는 법,"판타지, 퓨전",134,134,-67,-67,74.02%,74.02
143,https://novel.munpia.com/476657,476657,143,Ame바,회귀한 해버지가 전부 잘함.,"스포츠, 현대판타지",134,134,0,0,29.59%,29.59
144,https://novel.munpia.com/483902,483902,144,호방한,방 한 칸부터 시작하는 아포칼립스,"현대판타지, 판타지",133,133,1,1,56.22%,56.22
